image_name,features
0df78ee76bafd3a9.jpg,"[122.056, 135.476, 134.23, 163.202, 138.314, 141.644, 146.792, 143.816, 132.892, 132.096, 153.68, 112.054, 148.884, 148.054, 116.122, 117.126, 155.868, 145.664, 132.216, 123.616, 128.226, 140.29, 134.264, 152.842, 150.266, 161.206, 127.402, 125.512, 124.618, 129.842, 136.024, 137.768]"
0f899aca6d0fb6e1.jpg,"[112.828, 135.282, 142.732, 164.048, 149.4, 145.67, 156.016, 146.018, 130.174, 127.128, 147.772, 121.442, 133.444, 154.268, 125.234, 122.342, 159.482, 141.278, 125.928, 128.458, 134.15, 142.934, 125.018, 173.254, 132.842, 136.078, 140.866, 139.588, 132.066, 125.676, 142.77, 151.152]"
1cca48c57103a42c.jpg,"[110.396, 129.75, 128.462, 161.018, 142.538, 134.63, 144.458, 140.41, 125.594, 123.888, 161.938, 124.484, 140.396, 153.166, 121.542, 128.136, 154.234, 152.848, 131.65, 137.228, 141.568, 150.966, 119.936, 165.138, 147.386, 158.456, 139.588, 127.778, 119.13, 133.144, 143.556, 139.986]"
200046eca85cd992.jpg,"[119.972, 147.356, 154.492, 169.614, 159.846, 135.398, 158.006, 158.74, 131.992, 141.008, 175.754, 124.392, 154.678, 165.588, 123.888, 123.982, 167.234, 162.472, 155.848, 140.232, 138.644, 159.466, 144.45, 175.114, 151.182, 150.504, 142.084, 136.78, 133.87, 139.694, 152.676, 154.858]"
50100f0b149c5668.jpg,"[122.79, 131.816, 138.13, 151.29, 127.53, 130.316, 134.414, 138.966, 130.156, 142.27, 155.774, 114.742, 144.092, 146.668, 117.37, 113.2, 140.15, 158.958, 143.928, 122.818, 132.486, 143.15, 151.25, 123.338, 157.358, 165.69, 115.554, 122.584, 127.754, 137.398, 122.68, 136.524]"
5e4722478ab9c699.jpg,"[125.426, 127.582, 131.532, 148.906, 132.392, 129.13, 122.574, 140.488, 129.866, 129.944, 147.382, 99.268, 152.456, 141.698, 111.364, 107.11, 136.932, 149.506, 119.7, 119.782, 122.866, 139.524, 134.158, 119.678, 158.194, 162.052, 124.566, 105.024, 123.806, 133.446, 127.558, 125.742]"
685ec158610ee9c3.jpg,"[122.756, 137.54, 137.742, 142.894, 139.42, 129.904, 136.664, 145.424, 124.508, 141.278, 150.522, 118.436, 142.86, 145.496, 120.922, 117.178, 140.518, 144.278, 126.36, 134.024, 140.49, 145.148, 142.18, 144.692, 145.456, 150.25, 127.314, 131.32, 127.16, 133.7, 132.37, 137.218]"
6c413bd13881e4ea.jpg,"[116.66, 148.068, 135.642, 170.918, 139.69, 143.712, 152.45, 171.322, 128.22, 141.636, 181.766, 102.174, 142.446, 168.134, 124.968, 118.69, 156.582, 178.334, 137.54, 139.506, 150.648, 145.286, 143.102, 167.99, 160.776, 175.178, 123.492, 132.03, 129.9, 148.16, 143.006, 148.346]"
84c540da3f9e5436.jpg,"[104.824, 140.636, 135.758, 155.584, 157.686, 147.096, 149.254, 161.674, 130.266, 127.556, 164.428, 114.398, 152.12, 166.224, 117.756, 130.258, 152.628, 157.68, 134.616, 132.682, 132.324, 144.894, 129.084, 163.222, 151.184, 154.136, 124.714, 129.168, 126.942, 140.256, 141.618, 151.864]"
aea7138636948eee.jpg,"[131.994, 154.592, 144.544, 149.444, 159.24, 137.184, 138.29, 172.006, 145.102, 149.092, 161.72, 110.394, 165.536, 169.444, 119.072, 127.422, 145.27, 163.428, 140.75, 123.574, 140.67, 156.196, 149.136, 152.91, 157.146, 162.906, 137.258, 123.062, 135.592, 152.102, 144.786, 129.726]"
